time,IBM,HPQ,VZ,MSFT,CSCO,INTC
2010-02-05-15:46:00,123.15,47.31,28.7,27.95,23.74,19.54
2010-02-05-15:47:00,123.04,47.27,28.69,27.94,23.72,19.51
2010-02-05-15:48:00,123.0,47.22,28.66,27.93,23.69,19.48
2010-02-05-15:49:00,122.74,47.1,28.6,27.89,23.64,19.42
2010-02-05-15:50:00,122.97,47.18,28.62,27.94,23.65,19.46
2010-02-05-15:51:00,123.08,47.22,28.65,27.96,23.67,19.49
2010-02-05-15:52:00,123.19,47.25,28.67,27.98,23.68,19.5
2010-02-05-15:53:00,123.17,47.27,28.66,27.99,23.71,19.5
2010-02-05-15:54:00,123.19,47.28,28.69,28.02,23.7,19.5
2010-02-05-15:55:00,123.32,47.34,28.73,28.02,23.73,19.51
2010-02-05-15:56:00,123.48,47.35,28.72,28.04,23.71,19.52
2010-02-05-15:57:00,123.41,47.27,28.68,28.03,23.7,19.5
2010-02-05-15:58:00,123.63,47.4,28.74,28.05,23.74,19.5
2010-02-05-15:59:00,123.62,47.34,28.75,28.01,23.7,19.47
2010-02-05-16:00:00,123.52,47.31,28.73,28.02,23.7,19.47
