time,IBM,HPQ,VZ,MSFT,CSCO,INTC
2010-02-05-10:55:00,122.93,47.26,28.57,28.02,23.55,19.34
2010-02-05-10:56:00,123.02,47.29,28.59,28.02,23.59,19.34
2010-02-05-10:57:00,122.95,47.26,28.58,28.03,23.57,19.34
2010-02-05-10:58:00,122.99,47.28,28.6,28.03,23.6,19.35
2010-02-05-10:59:00,122.84,47.25,28.58,28.03,23.54,19.37
2010-02-05-11:00:00,122.89,47.28,28.55,28.03,23.56,19.36
2010-02-05-11:01:00,122.83,47.22,28.52,27.99,23.56,19.34
2010-02-05-11:02:00,122.63,47.16,28.51,27.94,23.51,19.34
2010-02-05-11:03:00,122.56,47.12,28.53,27.95,23.5,19.34
2010-02-05-11:04:00,122.53,47.11,28.53,27.95,23.5,19.34
2010-02-05-11:05:00,122.46,47.07,28.53,27.93,23.48,19.31
2010-02-05-11:06:00,122.46,47.14,28.54,27.92,23.48,19.33
2010-02-05-11:07:00,122.58,47.17,28.54,27.95,23.51,19.35
2010-02-05-11:08:00,122.73,47.2,28.56,27.95,23.52,19.36
2010-02-05-11:09:00,122.82,47.22,28.59,27.95,23.54,19.36
2010-02-05-11:10:00,122.76,47.21,28.59,27.97,23.54,19.36
2010-02-05-11:11:00,122.58,47.14,28.57,27.93,23.52,19.35
2010-02-05-11:12:00,122.72,47.16,28.6,27.96,23.54,19.35
2010-02-05-11:13:00,122.76,47.18,28.63,27.94,23.54,19.34
2010-02-05-11:14:00,122.61,47.11,28.6,27.92,23.52,19.32
2010-02-05-11:15:00,122.69,47.13,28.58,27.92,23.55,19.31
2010-02-05-11:16:00,122.81,47.17,28.59,27.95,23.56,19.33
2010-02-05-11:17:00,122.96,47.2,28.58,27.99,23.6,19.35
2010-02-05-11:18:00,123.04,47.23,28.59,27.98,23.58,19.35
2010-02-05-11:19:00,123.04,47.25,28.58,27.98,23.59,19.36
2010-02-05-11:20:00,123.01,47.24,28.56,27.98,23.57,19.35
2010-02-05-11:21:00,122.83,47.1,28.52,27.91,23.56,19.3
2010-02-05-11:22:00,122.9,47.12,28.51,27.93,23.56,19.32
2010-02-05-11:23:00,122.93,47.13,28.53,27.93,23.58,19.32
2010-02-05-11:24:00,122.98,47.16,28.53,27.93,23.6,19.34
2010-02-05-11:25:00,122.94,47.15,28.54,27.97,23.59,19.33
2010-02-05-11:26:00,123.0,47.17,28.54,27.97,23.59,19.33
2010-02-05-11:27:00,122.98,47.2,28.56,27.97,23.58,19.34
2010-02-05-11:28:00,122.9,47.15,28.53,27.95,23.57,19.32
2010-02-05-11:29:00,122.83,47.11,28.53,27.92,23.52,19.3
2010-02-05-11:30:00,122.83,47.09,28.51,27.92,23.54,19.31
2010-02-05-11:31:00,122.93,47.11,28.51,27.94,23.57,19.33
2010-02-05-11:32:00,122.9,47.12,28.52,27.92,23.56,19.33
2010-02-05-11:33:00,122.71,47.04,28.49,27.91,23.52,19.3
2010-02-05-11:34:00,122.59,47.02,28.45,27.87,23.47,19.27
2010-02-05-11:35:00,122.55,46.98,28.46,27.86,23.47,19.26
2010-02-05-11:36:00,122.67,46.98,28.46,27.88,23.48,19.27
2010-02-05-11:37:00,122.7,47.01,28.45,27.89,23.49,19.3
2010-02-05-11:38:00,122.7,47.02,28.46,27.88,23.5,19.25
2010-02-05-11:39:00,122.65,46.97,28.44,27.87,23.48,19.25
2010-02-05-11:40:00,122.52,46.92,28.43,27.83,23.45,19.24
2010-02-05-11:41:00,122.53,46.91,28.43,27.82,23.44,19.23
2010-02-05-11:42:00,122.5,46.9,28.4,27.79,23.42,19.22
2010-02-05-11:43:00,122.5,46.9,28.4,27.79,23.44,19.24
2010-02-05-11:44:00,122.57,46.94,28.4,27.77,23.46,19.24
2010-02-05-11:45:00,122.51,46.9,28.38,27.76,23.45,19.24
2010-02-05-11:46:00,122.35,46.8,28.36,27.72,23.39,19.2
2010-02-05-11:47:00,122.6,46.94,28.41,27.79,23.45,19.25
2010-02-05-11:48:00,122.64,46.97,28.44,27.77,23.47,19.26
2010-02-05-11:49:00,122.68,47.04,28.46,27.81,23.49,19.29
2010-02-05-11:50:00,122.73,47.05,28.48,27.82,23.5,19.3
2010-02-05-11:51:00,122.69,47.07,28.5,27.81,23.5,19.27
2010-02-05-11:52:00,122.6,47.03,28.47,27.78,23.46,19.27
2010-02-05-11:53:00,122.72,47.05,28.45,27.81,23.44,19.28
2010-02-05-11:54:00,122.68,47.01,28.45,27.81,23.42,19.25
2010-02-05-11:55:00,122.75,47.05,28.45,27.82,23.45,19.27
2010-02-05-11:56:00,122.78,47.07,28.47,27.82,23.45,19.28
2010-02-05-11:57:00,122.69,47.04,28.46,27.8,23.43,19.27
2010-02-05-11:58:00,122.67,47.01,28.46,27.79,23.4,19.24
2010-02-05-11:59:00,122.71,47.01,28.44,27.82,23.42,19.27
2010-02-05-12:00:00,122.71,47.06,28.44,27.86,23.46,19.31
2010-02-05-12:01:00,122.75,47.1,28.44,27.87,23.48,19.34
2010-02-05-12:02:00,122.68,47.05,28.43,27.84,23.47,19.3
2010-02-05-12:03:00,122.7,47.06,28.43,27.85,23.47,19.3
2010-02-05-12:04:00,122.66,47.08,28.42,27.87,23.48,19.3
2010-02-05-12:05:00,122.72,47.1,28.42,27.87,23.54,19.32
2010-02-05-12:06:00,122.83,47.12,28.47,27.9,23.54,19.33
2010-02-05-12:07:00,122.79,47.1,28.46,27.86,23.53,19.32
2010-02-05-12:08:00,122.82,47.12,28.47,27.87,23.56,19.31
2010-02-05-12:09:00,122.79,47.11,28.49,27.88,23.55,19.3
2010-02-05-12:10:00,122.77,47.06,28.48,27.84,23.57,19.27
2010-02-05-12:11:00,122.8,47.09,28.46,27.85,23.56,19.28
2010-02-05-12:12:00,122.78,47.06,28.47,27.83,23.55,19.26
2010-02-05-12:13:00,122.75,47.05,28.48,27.81,23.54,19.25
2010-02-05-12:14:00,122.69,47.01,28.47,27.81,23.52,19.23
2010-02-05-12:15:00,122.63,47.01,28.47,27.82,23.53,19.22
2010-02-05-12:16:00,122.64,46.98,28.47,27.81,23.53,19.23
2010-02-05-12:17:00,122.65,47.0,28.49,27.81,23.56,19.24
2010-02-05-12:18:00,122.73,47.03,28.5,27.82,23.56,19.24
2010-02-05-12:19:00,122.75,47.06,28.51,27.84,23.58,19.28
2010-02-05-12:20:00,122.82,47.12,28.52,27.88,23.6,19.29
2010-02-05-12:21:00,122.83,47.15,28.5,27.86,23.59,19.28
2010-02-05-12:22:00,122.79,47.12,28.51,27.89,23.59,19.28
2010-02-05-12:23:00,122.84,47.12,28.53,27.9,23.6,19.29
2010-02-05-12:24:00,122.76,47.1,28.51,27.9,23.58,19.29
2010-02-05-12:25:00,122.82,47.1,28.52,27.89,23.59,19.28
2010-02-05-12:26:00,122.76,47.12,28.52,27.87,23.59,19.29
2010-02-05-12:27:00,122.8,47.13,28.55,27.88,23.59,19.3
2010-02-05-12:28:00,122.76,47.15,28.55,27.89,23.6,19.3
2010-02-05-12:29:00,122.87,47.16,28.58,27.89,23.6,19.3
2010-02-05-12:30:00,122.85,47.12,28.56,27.88,23.6,19.3
2010-02-05-12:31:00,122.77,47.1,28.56,27.86,23.62,19.29
2010-02-05-12:32:00,122.86,47.13,28.57,27.9,23.63,19.32
2010-02-05-12:33:00,122.86,47.13,28.58,27.87,23.62,19.28
2010-02-05-12:34:00,122.88,47.1,28.58,27.85,23.61,19.29
2010-02-05-12:35:00,122.83,47.12,28.59,27.85,23.63,19.31
2010-02-05-12:36:00,122.83,47.12,28.57,27.88,23.62,19.32
2010-02-05-12:37:00,122.79,47.12,28.57,27.87,23.62,19.32
2010-02-05-12:38:00,122.75,47.1,28.57,27.87,23.62,19.29
2010-02-05-12:39:00,122.67,47.05,28.51,27.81,23.6,19.26
2010-02-05-12:40:00,122.66,47.04,28.49,27.83,23.6,19.24
2010-02-05-12:41:00,122.6,47.01,28.48,27.81,23.57,19.23
2010-02-05-12:42:00,122.58,47.01,28.48,27.8,23.57,19.22
2010-02-05-12:43:00,122.58,47.03,28.47,27.8,23.57,19.23
2010-02-05-12:44:00,122.63,47.05,28.48,27.8,23.59,19.24
2010-02-05-12:45:00,122.68,47.07,28.48,27.84,23.6,19.24
2010-02-05-12:46:00,122.72,47.1,28.49,27.87,23.61,19.24
2010-02-05-12:47:00,122.75,47.11,28.51,27.86,23.65,19.26
2010-02-05-12:48:00,122.67,47.09,28.51,27.83,23.65,19.25
2010-02-05-12:49:00,122.69,47.09,28.5,27.84,23.66,19.26
2010-02-05-12:50:00,122.72,47.11,28.5,27.85,23.66,19.26
2010-02-05-12:51:00,122.72,47.1,28.5,27.84,23.65,19.26
2010-02-05-12:52:00,122.53,47.01,28.47,27.79,23.6,19.22
2010-02-05-12:53:00,122.59,47.02,28.48,27.82,23.59,19.23
2010-02-05-12:54:00,122.67,47.03,28.48,27.83,23.59,19.23
2010-02-05-12:55:00,122.66,47.03,28.47,27.81,23.6,19.24
2010-02-05-12:56:00,122.74,47.08,28.5,27.85,23.62,19.26
2010-02-05-12:57:00,122.75,47.06,28.51,27.83,23.61,19.26
2010-02-05-12:58:00,122.85,47.11,28.49,27.85,23.63,19.28
2010-02-05-12:59:00,122.88,47.13,28.5,27.86,23.63,19.28
2010-02-05-13:00:00,122.81,47.08,28.49,27.85,23.6,19.25
2010-02-05-13:01:00,122.76,47.06,28.5,27.84,23.61,19.26
2010-02-05-13:02:00,122.83,47.09,28.5,27.88,23.64,19.27
2010-02-05-13:03:00,122.79,47.05,28.48,27.84,23.6,19.26
2010-02-05-13:04:00,122.82,47.09,28.49,27.87,23.61,19.27
2010-02-05-13:05:00,122.77,47.05,28.49,27.84,23.6,19.25
2010-02-05-13:06:00,122.76,47.03,28.48,27.83,23.6,19.25
2010-02-05-13:07:00,122.73,47.01,28.49,27.82,23.6,19.25
2010-02-05-13:08:00,122.67,47.01,28.48,27.8,23.6,19.24
2010-02-05-13:09:00,122.71,46.99,28.46,27.81,23.6,19.23
2010-02-05-13:10:00,122.73,47.01,28.47,27.82,23.59,19.24
2010-02-05-13:11:00,122.65,46.98,28.45,27.79,23.57,19.21
2010-02-05-13:12:00,122.66,46.95,28.48,27.78,23.55,19.21
2010-02-05-13:13:00,122.65,46.95,28.48,27.77,23.55,19.21
2010-02-05-13:14:00,122.78,46.99,28.49,27.79,23.57,19.25
2010-02-05-13:15:00,122.79,47.01,28.48,27.82,23.55,19.25
2010-02-05-13:16:00,122.74,46.99,28.47,27.8,23.55,19.24
2010-02-05-13:17:00,122.8,46.99,28.48,27.81,23.56,19.24
2010-02-05-13:18:00,122.81,46.98,28.47,27.82,23.54,19.24
2010-02-05-13:19:00,122.81,47.0,28.47,27.82,23.54,19.25
2010-02-05-13:20:00,122.72,46.95,28.48,27.8,23.52,19.22
2010-02-05-13:21:00,122.74,46.96,28.48,27.78,23.52,19.22
2010-02-05-13:22:00,122.74,46.99,28.48,27.78,23.5,19.22
2010-02-05-13:23:00,122.51,46.9,28.42,27.72,23.46,19.18
2010-02-05-13:24:00,122.51,46.92,28.46,27.72,23.44,19.17
2010-02-05-13:25:00,122.55,46.93,28.47,27.74,23.45,19.18
2010-02-05-13:26:00,122.54,46.91,28.46,27.74,23.43,19.17
2010-02-05-13:27:00,122.48,46.9,28.45,27.75,23.42,19.16
2010-02-05-13:28:00,122.52,46.87,28.46,27.75,23.42,19.17
2010-02-05-13:29:00,122.5,46.87,28.46,27.76,23.44,19.17
2010-02-05-13:30:00,122.57,46.9,28.48,27.76,23.46,19.17
2010-02-05-13:31:00,122.6,46.92,28.46,27.76,23.45,19.19
2010-02-05-13:32:00,122.52,46.92,28.46,27.75,23.47,19.17
2010-02-05-13:33:00,122.48,46.87,28.42,27.71,23.45,19.15
2010-02-05-13:34:00,122.52,46.88,28.42,27.71,23.44,19.16
2010-02-05-13:35:00,122.54,46.9,28.45,27.75,23.45,19.18
2010-02-05-13:36:00,122.5,46.91,28.46,27.76,23.46,19.18
2010-02-05-13:37:00,122.48,46.88,28.43,27.73,23.48,19.16
2010-02-05-13:38:00,122.3,46.81,28.4,27.65,23.42,19.14
2010-02-05-13:39:00,122.23,46.8,28.42,27.65,23.42,19.12
2010-02-05-13:40:00,122.16,46.75,28.4,27.61,23.4,19.1
2010-02-05-13:41:00,122.17,46.76,28.39,27.63,23.41,19.11
2010-02-05-13:42:00,122.2,46.75,28.38,27.64,23.39,19.1
2010-02-05-13:43:00,122.12,46.73,28.36,27.61,23.34,19.07
2010-02-05-13:44:00,122.22,46.77,28.4,27.65,23.36,19.09
2010-02-05-13:45:00,122.25,46.76,28.41,27.63,23.36,19.09
2010-02-05-13:46:00,122.33,46.79,28.4,27.65,23.34,19.1
2010-02-05-13:47:00,122.24,46.78,28.41,27.65,23.36,19.09
2010-02-05-13:48:00,122.24,46.78,28.4,27.65,23.37,19.13
2010-02-05-13:49:00,122.34,46.78,28.39,27.63,23.37,19.14
2010-02-05-13:50:00,122.28,46.78,28.39,27.65,23.36,19.14
2010-02-05-13:51:00,122.25,46.75,28.39,27.63,23.34,19.1
2010-02-05-13:52:00,122.28,46.75,28.39,27.64,23.36,19.1
2010-02-05-13:53:00,122.28,46.75,28.4,27.65,23.39,19.11
2010-02-05-13:54:00,122.3,46.75,28.4,27.66,23.41,19.12
2010-02-05-13:55:00,122.32,46.79,28.4,27.68,23.41,19.13
2010-02-05-13:56:00,122.22,46.76,28.38,27.66,23.42,19.11
2010-02-05-13:57:00,122.16,46.7,28.36,27.62,23.41,19.1
2010-02-05-13:58:00,122.09,46.65,28.35,27.6,23.38,19.09
2010-02-05-13:59:00,122.12,46.64,28.37,27.6,23.39,19.08
2010-02-05-14:00:00,122.28,46.69,28.37,27.65,23.4,19.12
2010-02-05-14:01:00,122.2,46.62,28.36,27.64,23.36,19.09
2010-02-05-14:02:00,122.23,46.62,28.34,27.65,23.38,19.12
2010-02-05-14:03:00,122.34,46.66,28.35,27.69,23.39,19.14
2010-02-05-14:04:00,122.37,46.71,28.41,27.7,23.39,19.17
2010-02-05-14:05:00,122.53,46.74,28.43,27.72,23.41,19.19
2010-02-05-14:06:00,122.44,46.76,28.43,27.72,23.39,19.19
2010-02-05-14:07:00,122.31,46.71,28.41,27.72,23.41,19.18
2010-02-05-14:08:00,122.36,46.7,28.4,27.71,23.39,19.17
2010-02-05-14:09:00,122.26,46.71,28.38,27.69,23.38,19.14
2010-02-05-14:10:00,122.24,46.71,28.39,27.7,23.36,19.13
2010-02-05-14:11:00,122.23,46.68,28.38,27.69,23.35,19.12
2010-02-05-14:12:00,122.31,46.7,28.38,27.72,23.39,19.13
2010-02-05-14:13:00,122.23,46.65,28.36,27.69,23.36,19.12
2010-02-05-14:14:00,122.29,46.69,28.37,27.71,23.38,19.15
2010-02-05-14:15:00,122.33,46.69,28.38,27.7,23.38,19.14
2010-02-05-14:16:00,122.34,46.69,28.39,27.69,23.38,19.15
2010-02-05-14:17:00,122.41,46.74,28.38,27.69,23.4,19.17
2010-02-05-14:18:00,122.47,46.77,28.4,27.72,23.45,19.21
2010-02-05-14:19:00,122.47,46.75,28.38,27.7,23.44,19.22
2010-02-05-14:20:00,122.44,46.74,28.38,27.7,23.42,19.22
2010-02-05-14:21:00,122.37,46.72,28.36,27.7,23.41,19.23
2010-02-05-14:22:00,122.38,46.72,28.35,27.7,23.42,19.22
2010-02-05-14:23:00,122.33,46.71,28.35,27.7,23.43,19.23
2010-02-05-14:24:00,122.36,46.75,28.37,27.72,23.43,19.23
2010-02-05-14:25:00,122.36,46.79,28.36,27.74,23.44,19.23
2010-02-05-14:26:00,122.37,46.81,28.37,27.74,23.44,19.23
2010-02-05-14:27:00,122.31,46.81,28.37,27.75,23.43,19.21
2010-02-05-14:28:00,122.3,46.81,28.37,27.74,23.46,19.2
2010-02-05-14:29:00,122.35,46.81,28.38,27.75,23.45,19.21
2010-02-05-14:30:00,122.3,46.8,28.37,27.7,23.45,19.2
2010-02-05-14:31:00,122.2,46.81,28.35,27.69,23.46,19.17
2010-02-05-14:32:00,122.2,46.79,28.35,27.68,23.46,19.17
2010-02-05-14:33:00,122.26,46.83,28.37,27.68,23.46,19.21
2010-02-05-14:34:00,122.34,46.85,28.36,27.68,23.46,19.21
2010-02-05-14:35:00,122.33,46.87,28.38,27.7,23.48,19.23
2010-02-05-14:36:00,122.3,46.87,28.36,27.7,23.48,19.24
2010-02-05-14:37:00,122.25,46.85,28.35,27.67,23.46,19.21
2010-02-05-14:38:00,122.19,46.83,28.36,27.69,23.46,19.22
2010-02-05-14:39:00,122.13,46.82,28.37,27.66,23.46,19.19
2010-02-05-14:40:00,122.11,46.8,28.34,27.64,23.45,19.2
2010-02-05-14:41:00,122.12,46.77,28.34,27.63,23.42,19.2
2010-02-05-14:42:00,122.07,46.74,28.33,27.62,23.4,19.19
2010-02-05-14:43:00,122.04,46.71,28.33,27.63,23.4,19.18
2010-02-05-14:44:00,122.04,46.72,28.35,27.64,23.42,19.19
2010-02-05-14:45:00,122.02,46.71,28.33,27.64,23.4,19.16
2010-02-05-14:46:00,122.04,46.71,28.33,27.62,23.4,19.17
2010-02-05-14:47:00,121.99,46.76,28.34,27.65,23.42,19.18
2010-02-05-14:48:00,122.0,46.8,28.37,27.66,23.45,19.2
2010-02-05-14:49:00,122.07,46.8,28.4,27.68,23.46,19.22
2010-02-05-14:50:00,122.19,46.84,28.4,27.68,23.48,19.23
2010-02-05-14:51:00,122.12,46.83,28.4,27.67,23.45,19.22
2010-02-05-14:52:00,122.12,46.83,28.4,27.67,23.43,19.22
2010-02-05-14:53:00,122.09,46.84,28.4,27.66,23.44,19.23
2010-02-05-14:54:00,122.22,46.87,28.41,27.71,23.47,19.25
2010-02-05-14:55:00,122.07,46.8,28.4,27.66,23.42,19.22
2010-02-05-14:56:00,122.19,46.86,28.42,27.67,23.44,19.24
2010-02-05-14:57:00,122.12,46.84,28.43,27.67,23.42,19.21
2010-02-05-14:58:00,122.05,46.81,28.42,27.66,23.41,19.21
2010-02-05-14:59:00,122.16,46.85,28.42,27.69,23.44,19.23
2010-02-05-15:00:00,122.23,46.85,28.46,27.69,23.44,19.23
2010-02-05-15:01:00,122.5,46.93,28.47,27.71,23.48,19.25
2010-02-05-15:02:00,122.5,46.94,28.48,27.75,23.49,19.26
2010-02-05-15:03:00,122.52,46.93,28.47,27.72,23.52,19.25
2010-02-05-15:04:00,122.55,46.92,28.48,27.71,23.53,19.24
2010-02-05-15:05:00,122.62,46.95,28.49,27.73,23.53,19.24
2010-02-05-15:06:00,122.73,47.03,28.53,27.8,23.58,19.28
2010-02-05-15:07:00,123.05,47.17,28.58,27.91,23.66,19.36
2010-02-05-15:08:00,123.21,47.25,28.66,27.93,23.73,19.38
2010-02-05-15:09:00,123.21,47.24,28.62,27.95,23.68,19.37
2010-02-05-15:10:00,123.03,47.2,28.56,27.9,23.63,19.37
2010-02-05-15:11:00,123.14,47.24,28.59,27.93,23.66,19.42
2010-02-05-15:12:00,123.11,47.23,28.58,27.97,23.66,19.44
2010-02-05-15:13:00,123.27,47.35,28.66,28.03,23.73,19.46
2010-02-05-15:14:00,123.4,47.42,28.69,28.12,23.77,19.5
2010-02-05-15:15:00,123.23,47.34,28.68,28.02,23.71,19.46
2010-02-05-15:16:00,122.92,47.23,28.59,27.95,23.65,19.41
2010-02-05-15:17:00,122.97,47.24,28.62,27.98,23.69,19.4
2010-02-05-15:18:00,123.12,47.25,28.65,27.98,23.72,19.43
2010-02-05-15:19:00,123.16,47.3,28.67,27.99,23.7,19.44
2010-02-05-15:20:00,123.44,47.38,28.71,28.07,23.79,19.48
2010-02-05-15:21:00,123.3,47.3,28.66,27.99,23.78,19.46
2010-02-05-15:22:00,123.32,47.33,28.66,27.99,23.8,19.46
2010-02-05-15:23:00,123.35,47.29,28.67,27.98,23.78,19.44
2010-02-05-15:24:00,123.22,47.26,28.66,27.97,23.77,19.41
2010-02-05-15:25:00,123.21,47.28,28.68,27.99,23.77,19.43
2010-02-05-15:26:00,123.19,47.25,28.68,27.95,23.74,19.43
2010-02-05-15:27:00,123.21,47.23,28.65,27.91,23.73,19.42
2010-02-05-15:28:00,123.19,47.24,28.66,27.92,23.74,19.41
2010-02-05-15:29:00,123.24,47.25,28.66,27.9,23.75,19.45
2010-02-05-15:30:00,123.1,47.24,28.65,27.88,23.74,19.41
2010-02-05-15:31:00,123.21,47.31,28.7,27.93,23.79,19.48
2010-02-05-15:32:00,123.43,47.4,28.73,27.99,23.84,19.51
2010-02-05-15:33:00,123.37,47.39,28.72,27.99,23.83,19.5
2010-02-05-15:34:00,123.37,47.39,28.72,27.96,23.81,19.49
2010-02-05-15:35:00,123.49,47.44,28.73,28.03,23.88,19.52
2010-02-05-15:36:00,123.34,47.38,28.72,27.97,23.84,19.47
2010-02-05-15:37:00,123.21,47.31,28.7,27.93,23.8,19.46
2010-02-05-15:38:00,123.24,47.3,28.7,27.92,23.74,19.45
2010-02-05-15:39:00,123.29,47.32,28.71,27.94,23.75,19.47
2010-02-05-15:40:00,123.24,47.31,28.71,27.95,23.74,19.46
2010-02-05-15:41:00,123.31,47.3,28.7,27.95,23.75,19.5
2010-02-05-15:42:00,123.17,47.32,28.7,27.92,23.74,19.52
2010-02-05-15:43:00,123.28,47.3,28.71,27.95,23.74,19.55
2010-02-05-15:44:00,123.28,47.29,28.72,27.95,23.75,19.55
2010-02-05-15:45:00,123.14,47.29,28.7,27.92,23.73,19.52
